ID	TIME	GEO	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
Allemagne1992	1992	Allemagne	976.34	488.1	2.47	475.27	10.49	181.24	122.19	NA	NA	59.05	73.38	237.3	45.12	63.29	95.89	1837.09	75.03	207.62	0	NA	NA	NA	NA	NA	NA	NA	988.41	802.48	0	185.94
Allemagne1993	1993	Allemagne	1041.97	539.98	5.82	484.18	11.99	208.05	138.84	NA	NA	69.21	82.35	216.83	52.86	70.67	105.12	1956.95	77.39	214.16	0	NA	NA	NA	NA	NA	NA	NA	966.39	774.63	0	191.77
Allemagne1994	1994	Allemagne	1128.4	584.54	7.45	523.24	13.15	227.5	149.02	0.52	NA	77.97	89.11	231.34	51.01	73.86	111.15	2107.44	79.33	219.55	0	NA	NA	NA	NA	NA	NA	NA	971.1	759.07	0	212.03
Allemagne1995	1995	Allemagne	1200.44	621.62	8.74	555.76	14.33	278.44	161.67	0.68	NA	116.09	96.45	252.04	51.99	80.36	128.95	2305.36	81.07	224.35	0	NA	NA	NA	NA	NA	NA	NA	968.14	745.76	0	222.38
Allemagne1996	1996	Allemagne	1208.24	613.88	9.4	570.26	14.69	305.27	165.2	1.01	NA	139.07	97.17	261.09	56.39	79.2	126.75	2358.2	82.3	227.75	0	NA	NA	NA	NA	NA	NA	NA	956.64	724.83	0	231.81
Allemagne1997	1997	Allemagne	1202.81	614.82	10.13	563.52	14.35	307.1	165.95	0.58	NA	140.57	97.31	255.23	55.22	69.37	126.45	2310.15	82.72	228.92	0	NA	NA	NA	NA	NA	NA	NA	937.77	707.54	0	230.23
Allemagne1998	1998	Allemagne	1205.06	630.22	11.38	548.39	15.07	327.04	183.04	0.68	NA	143.32	102.48	273.42	57.2	68.63	131.94	2369.48	83.93	232.27	0	NA	NA	NA	NA	NA	NA	NA	929.46	696.71	0	232.75
Allemagne1999	1999	Allemagne	1226.63	638.6	12.42	559.46	16.16	350.21	199.6	1.04	NA	149.57	106.28	289.35	54.38	73.52	138.31	2456.47	85.56	234.05	0	NA	NA	NA	NA	NA	NA	NA	919.44	688.51	0	230.93
Allemagne2000	2000	Allemagne	1258.11	649.48	13.43	578.24	16.97	361.62	208.66	0.99	NA	151.99	111.94	300.61	55.98	76.5	140.32	2532.55	88.69	235.92	0	1156.77	142.32	388.02	42.57	NA	394.11	189.75	911.64	680.75	0	230.89
Allemagne2001	2001	Allemagne	1283.04	655.82	15.36	594.29	17.57	372.24	216.78	1.25	NA	154.21	116.77	327.82	56.11	79.84	144.86	2613.3	89.38	239.89	0	1154.83	143.29	392.23	41.29	NA	388.59	188.22	900.95	671.14	0	229.82
Allemagne2002	2002	Allemagne	1322.33	673.18	17.91	612.59	18.65	388.87	228.63	1.19	NA	159.05	122.08	347.16	57.06	82.99	153.29	2709.59	88.69	243.43	0	1152.89	146.69	381.87	42.43	NA	393.99	189.12	887.3	663.47	0	223.83
Allemagne2003	2003	Allemagne	1349.93	678.87	18.85	634.09	18.1	399.63	237.79	1.18	NA	160.66	124.72	356.54	56.17	87.37	159.95	2780.69	88.07	247.12	0	1137.71	147.82	382.87	39.98	NA	381.66	186.59	874.41	656.58	0	217.84
Allemagne2004	2004	Allemagne	1379.83	693.49	20.51	646.58	19.26	407.16	245.58	1.31	NA	160.26	124.04	332.75	56.69	87.99	159.31	2773.83	84.97	252.47	0	1111.3	151.49	378.11	37.57	NA	361.14	182.99	857.78	643.91	0	213.86
Allemagne2005	2005	Allemagne	1385.98	710.64	21.81	634.13	19.41	422.93	256.28	1.3	NA	165.35	128.94	376.98	55.04	89.61	161.55	2853.48	84.92	254.61	0	1097.38	156.42	374.68	36.38	NA	350.43	179.46	846.74	635.17	0	211.57
Allemagne2006	2006	Allemagne	1430	731.62	27	651.17	20.21	437.43	266.69	1.31	NA	169.43	131.6	383.98	56.76	93.96	160.98	2939.2	83.18	260.49	0	1092.55	160.24	371.47	33.99	NA	347.19	179.66	829.71	620.04	0	209.67
Allemagne2007	2007	Allemagne	1468.92	740.73	30.21	676.8	21.19	452.08	276.1	1.34	NA	174.65	136.75	409.85	57.31	104.04	162.29	3046.19	82.69	265.94	0	1095.22	162.89	371.96	34.04	NA	340.36	185.98	823.91	616.23	0	207.67
Allemagne2008	2008	Allemagne	1529.42	767.62	31.85	708.02	21.92	466.31	281.67	1.58	NA	183.06	146.33	430.82	56.19	110.52	167.01	3168.99	84.4	269.66	0	1104.61	165.63	375.11	34.1	NA	342.22	187.55	821.36	613.03	0	208.33
Allemagne2009	2009	Allemagne	1618.79	819.04	31.77	746.05	21.95	497.47	297.31	2.08	NA	198.09	154.86	454.74	55.13	113.5	177.17	3346.32	86.95	274.94	0	1120.85	169.71	380.94	34.19	NA	343.09	192.91	823.95	614.56	0	209.38
Allemagne2010	2010	Allemagne	1687.65	859.56	33.82	771.34	22.94	518.94	304.54	2.51	NA	211.88	163.11	461.68	59.22	112.02	186.86	3472.2	91.48	283.33	0	1143.04	176.52	385.13	35.8	NA	346.86	199.97	832.56	620.58	0	211.97
Allemagne2011	2011	Allemagne	1773.62	904.62	34.86	809.93	24.22	550.08	318.88	2.96	NA	228.24	170.8	456.8	58.93	110.84	191.18	3609.95	93.74	293.95	0	1163.5	183.12	397.38	37.37	NA	341.33	203.05	837.84	625.39	0	212.45
Allemagne2012	2012	Allemagne	1811.57	926.22	35.1	825.99	24.26	575.13	325.88	3.38	NA	245.87	173.78	460.86	61.57	112.36	191.22	3696.01	93.74	300.9	0	1176.24	187.75	400.37	38.54	NA	344.42	205.16	833.62	623.52	0	210.09
Allemagne2013	2013	Allemagne	1873.39	960.03	38.66	850.37	24.34	612.71	338.33	3.78	NA	270.6	181.03	472.67	63.03	115.41	192.83	3831.11	97.46	306.05	0	1189.15	192.2	411.68	39.68	NA	336.04	209.56	827.77	620.83	0	206.94
Allemagne2014	2014	Allemagne	1934.99	995.72	39.96	875.31	23.99	641.36	347.16	4.21	NA	289.99	185.6	509.99	60.73	120.41	191.05	3977.19	99.33	311.5	0	1195.32	196.34	413.67	39.51	NA	332.17	213.63	822.82	618.26	0	204.56
Allemagne2015	2015	Allemagne	1987.02	1021.99	41.66	898.47	24.91	679.14	359.57	5.53	NA	314.04	204.51	529.34	64.42	124.11	199.16	4138.48	96.75	317.18	0	1197.26	199.54	412.55	40.4	NA	326.86	217.91	813.31	611.3	0	202.01
Allemagne2016	2016	Allemagne	2045.86	1052.94	42.79	924.58	25.55	711.69	370.25	6.73	NA	334.71	212.49	546.24	69.59	127.98	204.45	4270.88	97.76	320.89	NA	1199.78	201.58	414.09	41.29	NA	325.45	217.37	806.26	605.62	0	200.64
Allemagne2017	2017	Allemagne	2094.68	1074.39	42.79	951.68	25.82	816.69	403.32	8.69	NA	404.68	221.55	560.82	66.42	132.12	208.38	4459.36	99.56	325.33	NA	1213.45	205.67	423.44	42.34	NA	319.39	222.61	800.23	601.5	0	198.73
Autriche1992	1992	Autriche	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	116.12	121.89	NA	NA	NA	NA	NA	NA	NA	NA	883.44	766.35	49.04	68.06
Autriche1993	1993	Autriche	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	118.45	127.19	NA	NA	NA	NA	NA	NA	NA	NA	869.37	753.05	48.36	67.96
Autriche1994	1994	Autriche	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	122.24	134.9	NA	NA	NA	NA	NA	NA	NA	NA	859.59	749.91	43.03	66.64
Autriche1995	1995	Autriche	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	126.22	143	NA	NA	NA	NA	NA	NA	NA	NA	853.68	741.31	42.73	69.65
Autriche1996	1996	Autriche	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	129.06	152.69	NA	NA	NA	NA	NA	NA	NA	NA	843.99	729.5	41.64	72.85
Autriche1997	1997	Autriche	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.5	161.8	NA	NA	NA	NA	NA	NA	NA	NA	834.33	721.44	40.76	72.13
Autriche1998	1998	Autriche	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136.23	171.84	NA	NA	NA	NA	NA	NA	NA	NA	819.54	707.34	40.34	71.86
Autriche1999	1999	Autriche	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134.77	173.67	NA	NA	NA	NA	NA	NA	NA	NA	808.2	694.62	40.59	73
